Elapsed - Replicas - Running - Unavailable
1 - 0 - 0 - 0
2 - 0 - 0 - 0
4 - 1 - 0 - 1
6 - 1 - 1 - 0
8 - 1 - 1 - 0
10 - 1 - 0 - 1
14 - 1 - 1 - 0
16 - 1 - 1 - 0
18 - 1 - 1 - 0
20 - 1 - 0 - 1
22 - 1 - 0 - 1
24 - 1 - 0 - 1
26 - 1 - 0 - 1
28 - 1 - 0 - 1
30 - 1 - 0 - 2
32 - 2 - 0 - 2
34 - 2 - 2 - 1
36 - 2 - 2 - 1
38 - 2 - 2 - 0
40 - 2 - 2 - 0
42 - 2 - 2 - 0
44 - 2 - 1 - 1
46 - 2 - 1 - 1
48 - 2 - 1 - 1
50 - 2 - 0 - 2
53 - 2 - 0 - 2
54 - 2 - 0 - 2
56 - 2 - 0 - 2
58 - 2 - 0 - 3
61 - 2 - 1 - 2
62 - 2 - 1 - 3
65 - 2 - 1 - 3
67 - 2 - 2 - 1
69 - 2 - 1 - 1
71 - 2 - 2 - 0
74 - 2 - 1 - 0
76 - 4 - 2 - 2
79 - 4 - 3 - 1
81 - 4 - 2 - 2
83 - 4 - 2 - 2
85 - 4 - 0 - 4
87 - 4 - 2 - 2
89 - 4 - 2 - 2
91 - 4 - 2 - 2
93 - 4 - 0 - 5
95 - 4 - 1 - 4
97 - 4 - 1 - 5
99 - 4 - 2 - 4
102 - 4 - 1 - 2
104 - 4 - 2 - 3
106 - 4 - 2 - 4
108 - 4 - 2 - 4
111 - 4 - 2 - 1
113 - 4 - 3 - 2
116 - 4 - 2 - 2
118 - 4 - 0 - 3
120 - 4 - 1 - 4
122 - 4 - 2 - 3
124 - 4 - 2 - 3
127 - 4 - 1 - 3
129 - 4 - 0 - 6
131 - 4 - 2 - 4
135 - 4 - 3 - 3
137 - 4 - 3 - 1
139 - 4 - 3 - 2
141 - 4 - 3 - 2
143 - 4 - 2 - 3
145 - 4 - 2 - 3
148 - 4 - 2 - 2
150 - 4 - 1 - 3
152 - 4 - 1 - 3
154 - 4 - 1 - 3
157 - 4 - 0 - 5
159 - 4 - 0 - 4
161 - 4 - 2 - 3
