Elapsed - Replicas - Running - Unavailable
1 - 1 - 1 - 0
4 - 1 - 1 - 0
6 - 1 - 1 - 0
9 - 1 - 1 - 0
12 - 1 - 1 - 0
14 - 1 - 1 - 0
16 - 1 - 1 - 0
18 - 1 - 0 - 1
20 - 1 - 0 - 1
22 - 1 - 0 - 1
24 - 1 - 0 - 1
26 - 1 - 0 - 1
28 - 1 - 0 - 1
30 - 1 - 0 - 1
32 - 1 - 1 - 1
34 - 1 - 1 - 1
37 - 1 - 1 - 1
39 - 1 - 1 - 0
41 - 1 - 0 - 1
43 - 1 - 1 - 0
45 - 1 - 1 - 0
47 - 2 - 1 - 1
49 - 2 - 1 - 1
51 - 2 - 1 - 1
53 - 2 - 1 - 1
56 - 2 - 1 - 1
58 - 2 - 1 - 1
60 - 2 - 1 - 1
62 - 2 - 0 - 2
64 - 2 - 0 - 3
66 - 2 - 1 - 2
68 - 2 - 1 - 2
70 - 2 - 0 - 3
73 - 2 - 1 - 1
75 - 2 - 1 - 2
77 - 2 - 2 - 1
80 - 2 - 1 - 2
82 - 2 - 1 - 2
84 - 2 - 0 - 1
86 - 2 - 1 - 1
88 - 2 - 1 - 1
90 - 2 - 1 - 3
93 - 3 - 1 - 3
95 - 3 - 2 - 2
97 - 3 - 2 - 3
100 - 3 - 2 - 1
102 - 3 - 2 - 2
104 - 3 - 2 - 2
107 - 3 - 2 - 1
109 - 3 - 2 - 1
112 - 3 - 1 - 2
114 - 3 - 1 - 2
116 - 3 - 1 - 2
118 - 3 - 1 - 3
120 - 3 - 1 - 3
122 - 3 - 1 - 3
125 - 3 - 2 - 2
127 - 3 - 2 - 2
129 - 3 - 2 - 3
131 - 3 - 2 - 1
133 - 3 - 1 - 3
136 - 3 - 3 - 1
138 - 3 - 3 - 1
141 - 3 - 1 - 2
144 - 3 - 1 - 2
145 - 3 - 1 - 3
148 - 3 - 1 - 2
149 - 3 - 1 - 2
151 - 3 - 1 - 2
153 - 4 - 0 - 6
156 - 4 - 3 - 3
158 - 4 - 3 - 3
160 - 4 - 3 - 3
163 - 4 - 3 - 1
165 - 4 - 1 - 4
167 - 4 - 3 - 1
169 - 4 - 3 - 2
171 - 4 - 4 - 1
174 - 4 - 2 - 2
176 - 4 - 2 - 2
178 - 4 - 2 - 3
180 - 4 - 1 - 3
182 - 4 - 1 - 3
184 - 4 - 1 - 3
186 - 4 - 0 - 6
188 - 4 - 2 - 4
190 - 4 - 2 - 4
192 - 4 - 2 - 5
196 - 4 - 0 - 7
199 - 4 - 3 - 3
203 - 4 - 3 - 3
205 - 4 - 3 - 2
207 - 4 - 2 - 2
209 - 4 - 1 - 3
211 - 4 - 1 - 3
213 - 4 - 2 - 2
215 - 4 - 2 - 3
218 - 4 - 0 - 6
221 - 4 - 1 - 5
223 - 4 - 2 - 4
225 - 4 - 1 - 4
228 - 4 - 2 - 2
230 - 4 - 2 - 4
232 - 4 - 4 - 2
236 - 4 - 2 - 3
240 - 4 - 0 - 4
242 - 4 - 2 - 2
244 - 4 - 2 - 2
246 - 4 - 2 - 3
249 - 4 - 1 - 5
251 - 4 - 2 - 4
253 - 4 - 2 - 5
257 - 4 - 2 - 2
259 - 4 - 2 - 4
262 - 4 - 2 - 3
265 - 4 - 3 - 3
267 - 4 - 3 - 2
269 - 4 - 3 - 1
271 - 4 - 3 - 1
274 - 4 - 2 - 2
276 - 4 - 2 - 2
278 - 4 - 2 - 2
280 - 4 - 2 - 4
282 - 4 - 2 - 3
284 - 4 - 2 - 3
287 - 4 - 1 - 4
290 - 4 - 2 - 3
292 - 4 - 2 - 4
294 - 4 - 2 - 3
297 - 4 - 3 - 2
299 - 4 - 1 - 5
302 - 4 - 3 - 2
305 - 4 - 2 - 3
307 - 4 - 3 - 1
309 - 4 - 2 - 2
311 - 4 - 2 - 2
313 - 4 - 1 - 4
316 - 4 - 1 - 4
318 - 4 - 1 - 4
320 - 4 - 1 - 4
323 - 4 - 0 - 4
325 - 4 - 2 - 4
327 - 4 - 2 - 4
330 - 4 - 1 - 5
332 - 4 - 2 - 4
335 - 4 - 2 - 3
338 - 4 - 3 - 1
340 - 4 - 1 - 3
342 - 4 - 1 - 3
345 - 4 - 1 - 4
347 - 4 - 0 - 5
349 - 4 - 1 - 4
351 - 4 - 1 - 5
355 - 4 - 0 - 3
357 - 4 - 2 - 4
359 - 4 - 2 - 4
362 - 4 - 0 - 4
365 - 4 - 2 - 3
367 - 4 - 2 - 2
369 - 4 - 3 - 1
371 - 4 - 3 - 1
374 - 4 - 0 - 4
376 - 4 - 1 - 4
379 - 4 - 2 - 2
381 - 4 - 1 - 3
