Elapsed - Replicas - Running - Unavailable
1 - 1 - 1 - 0
2 - 1 - 1 - 0
4 - 1 - 1 - 0
6 - 1 - 1 - 0
8 - 1 - 1 - 0
11 - 1 - 0 - 3
13 - 3 - 0 - 3
15 - 3 - 2 - 1
17 - 3 - 2 - 1
19 - 3 - 2 - 1
21 - 3 - 1 - 2
23 - 3 - 2 - 2
27 - 3 - 2 - 3
29 - 3 - 1 - 2
31 - 3 - 1 - 2
33 - 3 - 1 - 2
37 - 3 - 1 - 2
39 - 3 - 1 - 2
41 - 3 - 1 - 3
43 - 3 - 1 - 5
45 - 3 - 2 - 3
47 - 3 - 2 - 3
50 - 3 - 2 - 3
53 - 3 - 1 - 2
55 - 3 - 2 - 1
57 - 3 - 2 - 1
59 - 3 - 0 - 4
62 - 3 - 1 - 3
64 - 3 - 1 - 3
66 - 3 - 0 - 3
70 - 3 - 1 - 2
72 - 3 - 1 - 3
74 - 3 - 1 - 3
76 - 3 - 1 - 4
78 - 3 - 2 - 3
81 - 3 - 2 - 1
83 - 3 - 2 - 1
85 - 3 - 1 - 2
88 - 3 - 1 - 2
91 - 3 - 1 - 3
94 - 3 - 2 - 3
100 - 3 - 1 - 3
108 - 3 - 0 - 4
119 - 3 - 1 - 4
124 - 3 - 0 - 5
126 - 3 - 0 - 3
129 - 3 - 2 - 1
131 - 3 - 2 - 1
133 - 3 - 2 - 1
135 - 3 - 2 - 1
137 - 3 - 2 - 2
140 - 3 - 3 - 1
143 - 3 - 1 - 2
145 - 3 - 1 - 2
148 - 3 - 0 - 2
150 - 3 - 1 - 2
152 - 4 - 1 - 3
154 - 4 - 2 - 2
157 - 4 - 1 - 4
159 - 4 - 2 - 4
162 - 4 - 3 - 3
165 - 4 - 2 - 1
167 - 4 - 3 - 2
169 - 4 - 2 - 3
172 - 4 - 2 - 3
174 - 4 - 2 - 2
176 - 4 - 1 - 3
178 - 4 - 1 - 3
180 - 4 - 1 - 3
182 - 4 - 1 - 3
184 - 4 - 0 - 6
186 - 4 - 2 - 5
191 - 4 - 2 - 3
193 - 4 - 3 - 3
196 - 4 - 1 - 5
199 - 4 - 3 - 1
202 - 4 - 4 - 0
204 - 4 - 2 - 2
206 - 4 - 2 - 2
208 - 4 - 2 - 2
211 - 4 - 1 - 3
213 - 4 - 1 - 3
214 - 4 - 1 - 3
216 - 4 - 0 - 4
218 - 4 - 0 - 6
221 - 4 - 2 - 4
224 - 4 - 2 - 4
227 - 4 - 3 - 2
229 - 4 - 2 - 5
233 - 4 - 0 - 6
235 - 4 - 4 - 1
239 - 4 - 4 - 0
241 - 4 - 2 - 2
243 - 4 - 2 - 3
246 - 4 - 1 - 3
248 - 4 - 1 - 3
250 - 4 - 1 - 3
252 - 4 - 0 - 5
254 - 4 - 1 - 4
257 - 4 - 2 - 5
259 - 4 - 2 - 5
262 - 4 - 3 - 2
264 - 4 - 3 - 4
268 - 4 - 3 - 3
271 - 4 - 4 - 0
273 - 4 - 4 - 0
276 - 4 - 1 - 2
278 - 4 - 2 - 2
280 - 4 - 1 - 3
282 - 4 - 0 - 4
285 - 4 - 0 - 4
287 - 4 - 0 - 5
289 - 4 - 1 - 5
291 - 4 - 2 - 5
295 - 4 - 1 - 3
299 - 4 - 3 - 3
302 - 4 - 4 - 2
306 - 4 - 3 - 1
308 - 4 - 3 - 1
310 - 4 - 1 - 4
313 - 4 - 1 - 3
315 - 4 - 1 - 3
316 - 4 - 1 - 4
319 - 4 - 1 - 4
321 - 4 - 1 - 4
324 - 4 - 1 - 5
326 - 4 - 1 - 5
329 - 4 - 3 - 3
331 - 4 - 3 - 1
333 - 4 - 4 - 1
335 - 4 - 3 - 4
338 - 4 - 3 - 2
341 - 4 - 3 - 1
343 - 4 - 3 - 1
346 - 4 - 1 - 4
348 - 4 - 0 - 4
350 - 4 - 0 - 4
352 - 4 - 0 - 4
354 - 4 - 1 - 4
356 - 4 - 1 - 4
359 - 4 - 0 - 6
362 - 4 - 3 - 4
366 - 4 - 3 - 4
368 - 4 - 3 - 2
370 - 4 - 3 - 2
372 - 4 - 1 - 3
375 - 4 - 3 - 1
377 - 4 - 2 - 1
379 - 4 - 3 - 1
381 - 4 - 1 - 4
383 - 4 - 0 - 5
386 - 4 - 1 - 4
388 - 4 - 1 - 3
390 - 4 - 1 - 3
392 - 4 - 0 - 4
394 - 4 - 0 - 5
397 - 4 - 2 - 4
400 - 4 - 2 - 6
404 - 4 - 2 - 4
406 - 4 - 4 - 2
409 - 4 - 4 - 2
Elapsed - Replicas - Running - Unavailable
1 - 1 - 1 - 0
3 - 1 - 1 - 0
5 - 1 - 1 - 0
7 - 1 - 1 - 0
9 - 1 - 1 - 0
12 - 1 - 1 - 0
14 - 1 - 1 - 0
16 - 1 - 1 - 0
18 - 1 - 0 - 1
20 - 1 - 0 - 1
22 - 1 - 0 - 1
24 - 1 - 0 - 1
26 - 1 - 0 - 1
28 - 1 - 0 - 1
30 - 1 - 0 - 2
32 - 2 - 0 - 3
34 - 2 - 2 - 1
36 - 2 - 2 - 1
38 - 2 - 1 - 0
40 - 2 - 2 - 0
42 - 2 - 2 - 0
44 - 2 - 2 - 0
47 - 2 - 0 - 2
49 - 2 - 0 - 2
51 - 2 - 0 - 2
53 - 2 - 0 - 2
55 - 2 - 0 - 2
57 - 2 - 0 - 2
59 - 2 - 0 - 3
61 - 2 - 1 - 3
63 - 2 - 2 - 2
65 - 2 - 2 - 3
69 - 2 - 2 - 0
71 - 2 - 2 - 0
73 - 2 - 2 - 0
75 - 2 - 1 - 1
77 - 2 - 1 - 1
79 - 2 - 0 - 2
81 - 2 - 0 - 2
83 - 2 - 0 - 2
85 - 2 - 0 - 2
87 - 2 - 0 - 2
89 - 2 - 0 - 3
91 - 2 - 1 - 2
