Elapsed - Replicas - Running - Unavailable
1 - 0 - 0 - 0
3 - 0 - 0 - 0
5 - 1 - 0 - 1
7 - 1 - 1 - 0
9 - 1 - 1 - 0
11 - 2 - 1 - 1
13 - 2 - 0 - 2
15 - 2 - 2 - 0
17 - 2 - 2 - 0
19 - 2 - 2 - 0
21 - 2 - 1 - 2
23 - 2 - 1 - 1
25 - 2 - 1 - 1
27 - 4 - 1 - 3
29 - 4 - 0 - 2
31 - 4 - 2 - 2
33 - 4 - 2 - 2
35 - 4 - 2 - 4
37 - 4 - 2 - 3
39 - 4 - 3 - 2
41 - 4 - 3 - 2
43 - 4 - 0 - 5
46 - 4 - 1 - 3
48 - 4 - 2 - 3
50 - 4 - 2 - 2
52 - 4 - 2 - 2
54 - 4 - 2 - 3
56 - 4 - 1 - 4
58 - 4 - 2 - 4
60 - 4 - 3 - 3
64 - 4 - 2 - 2
66 - 4 - 2 - 2
68 - 4 - 1 - 3
70 - 4 - 2 - 3
72 - 4 - 3 - 3
76 - 4 - 1 - 4
78 - 4 - 2 - 3
80 - 4 - 2 - 4
82 - 4 - 2 - 4
84 - 4 - 2 - 2
86 - 4 - 2 - 2
88 - 4 - 1 - 5
90 - 4 - 2 - 4
92 - 4 - 2 - 4
94 - 4 - 2 - 4
97 - 4 - 2 - 2
98 - 4 - 2 - 2
101 - 4 - 2 - 3
103 - 4 - 2 - 3
105 - 4 - 3 - 3
108 - 4 - 1 - 4
110 - 4 - 2 - 3
112 - 4 - 2 - 3
114 - 4 - 2 - 2
116 - 4 - 2 - 2
118 - 4 - 2 - 2
120 - 4 - 1 - 3
122 - 4 - 0 - 6
125 - 4 - 1 - 5
127 - 4 - 2 - 2
129 - 4 - 2 - 2
131 - 4 - 1 - 3
133 - 4 - 1 - 3
135 - 4 - 2 - 3
137 - 4 - 2 - 4
140 - 4 - 2 - 4
143 - 4 - 0 - 2
145 - 4 - 2 - 2
147 - 4 - 2 - 2
149 - 4 - 2 - 3
151 - 4 - 2 - 2
153 - 4 - 1 - 4
155 - 4 - 2 - 5
158 - 4 - 2 - 4
160 - 4 - 2 - 2
162 - 4 - 2 - 2
164 - 4 - 2 - 3
167 - 4 - 2 - 2
170 - 4 - 2 - 3
172 - 4 - 2 - 4
175 - 4 - 2 - 3
177 - 4 - 1 - 4
179 - 4 - 2 - 3
181 - 4 - 1 - 3
183 - 4 - 2 - 2
185 - 4 - 1 - 5
187 - 4 - 2 - 4
190 - 4 - 2 - 4
193 - 4 - 1 - 2
195 - 4 - 2 - 3
197 - 4 - 2 - 3
199 - 4 - 3 - 2
201 - 4 - 2 - 4
204 - 4 - 2 - 4
206 - 4 - 2 - 3
208 - 4 - 2 - 3
210 - 4 - 1 - 3
212 - 4 - 1 - 3
214 - 4 - 1 - 4
216 - 4 - 2 - 4
219 - 4 - 1 - 4
222 - 4 - 1 - 3
224 - 4 - 2 - 2
226 - 4 - 2 - 3
228 - 4 - 3 - 1
230 - 4 - 3 - 2
232 - 4 - 2 - 4
235 - 4 - 2 - 3
237 - 4 - 2 - 2
239 - 4 - 2 - 3
241 - 4 - 1 - 3
243 - 4 - 1 - 3
245 - 4 - 1 - 3
247 - 4 - 0 - 4
249 - 4 - 0 - 6
251 - 4 - 2 - 5
253 - 4 - 3 - 4
257 - 4 - 2 - 3
259 - 4 - 3 - 1
262 - 4 - 3 - 2
264 - 4 - 4 - 1
266 - 4 - 3 - 2
268 - 4 - 3 - 1
271 - 4 - 2 - 2
272 - 4 - 0 - 4
275 - 4 - 1 - 3
276 - 4 - 1 - 4
279 - 4 - 1 - 4
282 - 4 - 1 - 3
283 - 4 - 1 - 3
286 - 4 - 1 - 5
288 - 4 - 3 - 3
290 - 4 - 3 - 4
292 - 4 - 3 - 4
294 - 4 - 0 - 5
296 - 4 - 3 - 2
299 - 4 - 3 - 1
301 - 4 - 3 - 1
303 - 4 - 1 - 3
305 - 4 - 1 - 3
307 - 4 - 1 - 3
309 - 4 - 0 - 5
311 - 4 - 0 - 4
314 - 4 - 1 - 5
316 - 4 - 2 - 4
318 - 4 - 2 - 1
321 - 4 - 3 - 1
323 - 4 - 3 - 2
325 - 4 - 0 - 4
327 - 4 - 3 - 2
329 - 4 - 3 - 2
332 - 4 - 3 - 3
334 - 4 - 1 - 3
336 - 4 - 1 - 3
338 - 4 - 1 - 3
339 - 4 - 0 - 5
342 - 4 - 0 - 4
344 - 4 - 1 - 4
346 - 4 - 1 - 5
350 - 4 - 2 - 5
352 - 4 - 3 - 3
355 - 4 - 2 - 6
Elapsed - Replicas - Running - Unavailable
1 - 0 - 0 - 0
3 - 0 - 0 - 0
5 - 1 - 0 - 1
7 - 1 - 1 - 0
8 - 1 - 1 - 0
10 - 2 - 1 - 1
12 - 2 - 1 - 0
14 - 2 - 2 - 0
16 - 2 - 2 - 0
18 - 2 - 2 - 1
20 - 2 - 1 - 1
22 - 2 - 1 - 1
24 - 2 - 1 - 1
26 - 4 - 0 - 4
28 - 4 - 2 - 2
30 - 4 - 2 - 3
32 - 4 - 3 - 4
35 - 4 - 3 - 1
36 - 4 - 3 - 2
38 - 4 - 3 - 3
41 - 4 - 2 - 3
43 - 4 - 2 - 3
45 - 4 - 2 - 2
46 - 4 - 1 - 2
