Elapsed - Replicas - Running - Unavailable
1 - 1 - 1 - 0
3 - 1 - 1 - 0
5 - 1 - 1 - 0
7 - 1 - 1 - 0
9 - 1 - 1 - 1
11 - 1 - 1 - 0
13 - 1 - 1 - 0
15 - 1 - 1 - 0
17 - 1 - 0 - 1
19 - 2 - 0 - 1
21 - 2 - 1 - 1
23 - 2 - 1 - 1
25 - 2 - 1 - 1
28 - 2 - 1 - 2
30 - 2 - 2 - 1
32 - 2 - 2 - 1
34 - 2 - 2 - 1
36 - 2 - 0 - 1
38 - 2 - 1 - 1
40 - 2 - 1 - 1
42 - 2 - 1 - 1
45 - 2 - 0 - 2
47 - 2 - 0 - 2
49 - 2 - 0 - 2
51 - 2 - 0 - 3
54 - 2 - 1 - 2
56 - 2 - 1 - 2
58 - 2 - 1 - 3
60 - 2 - 0 - 4
62 - 2 - 2 - 1
65 - 4 - 2 - 2
67 - 4 - 3 - 1
69 - 4 - 3 - 1
71 - 4 - 1 - 1
74 - 4 - 3 - 1
76 - 4 - 3 - 1
78 - 4 - 0 - 4
80 - 4 - 0 - 5
82 - 4 - 1 - 4
84 - 4 - 1 - 4
86 - 4 - 1 - 4
89 - 4 - 0 - 4
91 - 4 - 2 - 4
93 - 4 - 3 - 4
97 - 4 - 1 - 2
100 - 4 - 3 - 1
102 - 4 - 2 - 2
104 - 4 - 1 - 2
107 - 4 - 2 - 3
109 - 4 - 3 - 2
112 - 4 - 1 - 3
113 - 4 - 1 - 3
115 - 4 - 1 - 3
117 - 4 - 1 - 4
119 - 4 - 2 - 3
121 - 4 - 1 - 4
123 - 4 - 1 - 4
125 - 4 - 0 - 6
128 - 4 - 3 - 3
130 - 4 - 3 - 3
132 - 4 - 2 - 4
135 - 4 - 2 - 3
138 - 4 - 2 - 4
140 - 4 - 3 - 1
142 - 4 - 2 - 2
144 - 4 - 3 - 1
146 - 4 - 1 - 3
148 - 4 - 1 - 4
151 - 4 - 1 - 4
152 - 4 - 1 - 4
155 - 4 - 1 - 3
157 - 4 - 1 - 3
159 - 4 - 1 - 4
161 - 4 - 1 - 6
163 - 4 - 2 - 5
166 - 4 - 1 - 6
168 - 4 - 3 - 2
172 - 4 - 3 - 1
174 - 4 - 1 - 3
176 - 4 - 3 - 1
178 - 4 - 2 - 3
180 - 4 - 2 - 4
182 - 4 - 2 - 4
185 - 4 - 1 - 4
187 - 4 - 1 - 3
189 - 4 - 1 - 3
191 - 4 - 1 - 4
193 - 4 - 2 - 4
196 - 4 - 2 - 6
200 - 4 - 1 - 6
202 - 4 - 1 - 5
207 - 4 - 1 - 3
210 - 4 - 2 - 3
212 - 4 - 3 - 2
217 - 4 - 1 - 3
220 - 4 - 1 - 4
222 - 4 - 1 - 4
224 - 4 - 2 - 3
226 - 4 - 2 - 4
229 - 4 - 1 - 4
231 - 4 - 1 - 4
233 - 4 - 2 - 4
235 - 4 - 2 - 4
238 - 4 - 2 - 4
240 - 4 - 2 - 3
244 - 4 - 3 - 1
246 - 4 - 3 - 1
248 - 4 - 3 - 1
250 - 4 - 3 - 3
252 - 4 - 1 - 3
254 - 4 - 1 - 4
256 - 4 - 2 - 3
258 - 4 - 1 - 4
260 - 4 - 1 - 5
263 - 4 - 1 - 3
265 - 4 - 1 - 4
267 - 4 - 1 - 4
269 - 4 - 1 - 4
272 - 4 - 2 - 4
275 - 4 - 3 - 3
278 - 4 - 3 - 1
280 - 4 - 2 - 2
283 - 4 - 2 - 4
285 - 4 - 2 - 3
287 - 4 - 2 - 3
289 - 4 - 2 - 3
291 - 4 - 1 - 3
293 - 4 - 1 - 3
295 - 4 - 1 - 4
297 - 4 - 2 - 4
300 - 4 - 3 - 3
302 - 4 - 2 - 2
304 - 4 - 2 - 2
306 - 4 - 2 - 3
308 - 4 - 3 - 2
310 - 4 - 3 - 2
312 - 4 - 3 - 3
315 - 4 - 0 - 5
318 - 4 - 2 - 3
320 - 4 - 2 - 3
323 - 4 - 2 - 4
325 - 4 - 1 - 3
327 - 4 - 1 - 4
329 - 4 - 2 - 4
332 - 4 - 2 - 4
335 - 4 - 2 - 3
337 - 4 - 2 - 3
339 - 4 - 3 - 3
341 - 4 - 3 - 2
343 - 4 - 3 - 3
347 - 4 - 2 - 2
349 - 4 - 3 - 2
351 - 4 - 2 - 2
353 - 4 - 2 - 3
355 - 4 - 1 - 4
357 - 4 - 1 - 3
360 - 4 - 1 - 3
361 - 4 - 1 - 3
364 - 4 - 0 - 6
366 - 4 - 2 - 4
369 - 4 - 2 - 5
372 - 4 - 3 - 2
374 - 4 - 2 - 3
377 - 4 - 2 - 5
380 - 4 - 1 - 3
382 - 4 - 1 - 2
384 - 4 - 2 - 2
386 - 4 - 1 - 3
388 - 4 - 0 - 4
Elapsed - Replicas - Running - Unavailable
1 - 1 - 1 - 0
3 - 1 - 1 - 0
5 - 1 - 1 - 0
6 - 1 - 1 - 0
8 - 1 - 0 - 1
11 - 1 - 1 - 0
13 - 1 - 1 - 0
15 - 1 - 1 - 0
17 - 1 - 0 - 1
19 - 1 - 0 - 1
21 - 1 - 0 - 1
23 - 1 - 0 - 1
25 - 1 - 0 - 1
27 - 2 - 0 - 3
29 - 2 - 2 - 1
31 - 2 - 2 - 1
33 - 2 - 2 - 1
36 - 2 - 2 - 0
38 - 2 - 2 - 0
40 - 2 - 0 - 0
42 - 2 - 2 - 0
44 - 2 - 2 - 0
46 - 2 - 2 - 0
48 - 2 - 0 - 2
50 - 2 - 0 - 2
52 - 2 - 0 - 2
54 - 2 - 0 - 2
56 - 2 - 0 - 2
58 - 2 - 0 - 2
60 - 2 - 0 - 3
62 - 2 - 1 - 3
64 - 2 - 2 - 2
66 - 2 - 2 - 3
70 - 2 - 2 - 0
72 - 4 - 2 - 2
74 - 4 - 3 - 1
77 - 4 - 3 - 1
79 - 4 - 3 - 1
81 - 4 - 1 - 2
83 - 4 - 2 - 2
84 - 4 - 2 - 3
87 - 4 - 2 - 3
89 - 4 - 1 - 3
91 - 4 - 1 - 4
93 - 4 - 1 - 4
95 - 4 - 1 - 5
97 - 4 - 2 - 4
99 - 4 - 1 - 3
102 - 4 - 3 - 2
104 - 4 - 2 - 2
106 - 4 - 3 - 4
108 - 4 - 2 - 3
111 - 4 - 3 - 2
113 - 4 - 2 - 2
115 - 4 - 1 - 3
117 - 4 - 2 - 2
120 - 4 - 1 - 4
122 - 4 - 2 - 4
124 - 4 - 1 - 4
127 - 4 - 0 - 5
129 - 4 - 2 - 3
131 - 4 - 2 - 3
133 - 4 - 2 - 3
135 - 4 - 1 - 5
138 - 4 - 2 - 4
141 - 4 - 3 - 2
143 - 4 - 3 - 1
145 - 4 - 3 - 1
147 - 4 - 1 - 4
149 - 4 - 2 - 3
151 - 4 - 3 - 2
153 - 4 - 1 - 4
156 - 4 - 1 - 3
158 - 4 - 1 - 3
160 - 4 - 1 - 3
162 - 4 - 1 - 4
164 - 4 - 0 - 4
166 - 4 - 1 - 6
168 - 4 - 1 - 6
171 - 4 - 2 - 4
173 - 4 - 3 - 1
175 - 4 - 3 - 1
177 - 4 - 2 - 4
179 - 4 - 2 - 2
182 - 4 - 3 - 1
184 - 4 - 1 - 3
186 - 4 - 1 - 3
188 - 4 - 1 - 3
190 - 4 - 1 - 4
192 - 4 - 2 - 3
194 - 4 - 2 - 3
196 - 4 - 1 - 4
198 - 4 - 1 - 5
200 - 4 - 2 - 4
203 - 4 - 3 - 3
205 - 4 - 3 - 3
208 - 4 - 1 - 3
210 - 4 - 2 - 2
212 - 4 - 2 - 3
215 - 4 - 1 - 4
217 - 4 - 1 - 3
219 - 4 - 1 - 3
221 - 4 - 1 - 4
223 - 4 - 1 - 4
224 - 4 - 2 - 3
227 - 4 - 1 - 4
229 - 4 - 1 - 5
232 - 4 - 0 - 2
234 - 4 - 3 - 2
236 - 4 - 3 - 2
238 - 4 - 3 - 2
240 - 4 - 2 - 3
242 - 4 - 3 - 2
245 - 4 - 2 - 2
247 - 4 - 2 - 2
249 - 4 - 2 - 2
251 - 4 - 2 - 3
253 - 4 - 3 - 2
256 - 4 - 3 - 1
258 - 4 - 3 - 1
260 - 4 - 3 - 2
262 - 4 - 4 - 1
264 - 4 - 4 - 0
266 - 4 - 4 - 0
268 - 4 - 4 - 0
270 - 4 - 4 - 0
272 - 4 - 4 - 0
274 - 4 - 4 - 0
276 - 4 - 4 - 0
278 - 4 - 4 - 0
280 - 4 - 4 - 0
282 - 4 - 4 - 0
283 - 4 - 4 - 0
285 - 4 - 4 - 0
287 - 4 - 4 - 0
289 - 4 - 4 - 0
291 - 4 - 4 - 0
293 - 4 - 4 - 0
295 - 4 - 4 - 0
297 - 4 - 4 - 0
299 - 4 - 4 - 0
301 - 4 - 4 - 0
303 - 4 - 4 - 0
305 - 4 - 4 - 0
307 - 4 - 4 - 0
309 - 4 - 4 - 0
311 - 4 - 4 - 0
313 - 4 - 4 - 0
315 - 4 - 4 - 0
317 - 4 - 4 - 0
319 - 4 - 4 - 0
321 - 4 - 4 - 0
323 - 4 - 4 - 0
325 - 4 - 4 - 0
327 - 4 - 4 - 0
329 - 4 - 4 - 0
331 - 4 - 4 - 0
