Elapsed - Replicas - Running - Unavailable
1 - 0 - 0 - 0
3 - 0 - 0 - 0
5 - 1 - 0 - 1
7 - 1 - 1 - 0
9 - 1 - 1 - 0
10 - 2 - 1 - 1
13 - 2 - 2 - 0
16 - 2 - 2 - 0
18 - 2 - 2 - 0
20 - 2 - 2 - 0
22 - 2 - 2 - 0
24 - 2 - 1 - 1
26 - 2 - 2 - 1
28 - 2 - 1 - 1
30 - 2 - 1 - 1
31 - 2 - 1 - 1
33 - 2 - 1 - 1
35 - 2 - 0 - 2
38 - 2 - 0 - 2
39 - 2 - 0 - 3
41 - 4 - 0 - 5
44 - 4 - 3 - 2
46 - 4 - 3 - 2
48 - 4 - 3 - 3
50 - 4 - 4 - 1
52 - 4 - 4 - 1
54 - 4 - 4 - 1
57 - 4 - 1 - 1
59 - 4 - 4 - 0
61 - 4 - 4 - 0
63 - 4 - 4 - 0
65 - 4 - 4 - 0
67 - 4 - 4 - 0
69 - 4 - 4 - 1
71 - 4 - 4 - 0
73 - 4 - 4 - 0
75 - 4 - 4 - 0
77 - 4 - 4 - 0
79 - 4 - 1 - 3
81 - 4 - 1 - 3
83 - 4 - 1 - 3
85 - 4 - 0 - 4
87 - 4 - 0 - 4
89 - 4 - 0 - 4
91 - 4 - 0 - 5
93 - 4 - 1 - 6
95 - 4 - 3 - 4
97 - 4 - 3 - 5
101 - 4 - 3 - 4
103 - 4 - 4 - 1
105 - 4 - 3 - 1
107 - 4 - 4 - 0
109 - 4 - 4 - 0
111 - 4 - 2 - 0
114 - 4 - 4 - 0
116 - 4 - 4 - 0
118 - 4 - 3 - 1
120 - 4 - 4 - 0
122 - 4 - 4 - 0
124 - 4 - 4 - 0
126 - 4 - 3 - 1
128 - 4 - 2 - 2
130 - 4 - 2 - 2
132 - 4 - 2 - 2
134 - 4 - 1 - 3
136 - 4 - 1 - 3
138 - 4 - 2 - 3
140 - 4 - 2 - 2
142 - 4 - 2 - 3
144 - 4 - 3 - 2
147 - 4 - 3 - 1
149 - 4 - 3 - 2
150 - 4 - 4 - 1
154 - 4 - 4 - 0
155 - 4 - 4 - 0
157 - 4 - 4 - 0
159 - 4 - 4 - 0
161 - 4 - 4 - 0
163 - 4 - 4 - 0
165 - 4 - 4 - 0
167 - 4 - 4 - 0
169 - 4 - 4 - 0
171 - 4 - 4 - 0
173 - 4 - 4 - 0
175 - 4 - 4 - 0
177 - 4 - 4 - 0
179 - 4 - 4 - 0
181 - 4 - 4 - 0
183 - 4 - 4 - 0
185 - 4 - 4 - 0
187 - 4 - 4 - 0
189 - 4 - 4 - 0
191 - 4 - 4 - 0
193 - 4 - 4 - 0
195 - 4 - 4 - 0
197 - 4 - 4 - 0
199 - 4 - 4 - 0
202 - 4 - 4 - 0
204 - 4 - 4 - 0
206 - 4 - 4 - 0
208 - 4 - 4 - 0
210 - 4 - 4 - 0
212 - 4 - 4 - 0
214 - 4 - 4 - 0
216 - 4 - 4 - 0
218 - 4 - 4 - 0
220 - 4 - 4 - 0
222 - 4 - 4 - 0
224 - 4 - 4 - 0
226 - 4 - 4 - 0
228 - 4 - 4 - 0
230 - 4 - 4 - 0
232 - 4 - 4 - 0
234 - 4 - 4 - 0
236 - 4 - 4 - 0
238 - 4 - 4 - 0
240 - 4 - 4 - 0
242 - 4 - 4 - 0
244 - 4 - 4 - 0
246 - 4 - 4 - 0
248 - 4 - 4 - 0
250 - 4 - 4 - 0
252 - 4 - 4 - 0
254 - 4 - 4 - 0
256 - 4 - 4 - 0
258 - 4 - 4 - 0
260 - 4 - 4 - 0
262 - 4 - 4 - 0
264 - 4 - 4 - 0
266 - 4 - 4 - 0
267 - 4 - 4 - 0
269 - 4 - 4 - 0
271 - 4 - 4 - 0
273 - 4 - 4 - 0
276 - 4 - 4 - 0
278 - 4 - 4 - 0
280 - 4 - 4 - 0
281 - 4 - 4 - 0
283 - 4 - 4 - 0
285 - 4 - 4 - 0
287 - 4 - 4 - 0
289 - 4 - 4 - 0
291 - 4 - 4 - 0
293 - 4 - 4 - 0
295 - 4 - 4 - 0
297 - 4 - 4 - 0
299 - 4 - 4 - 0
301 - 4 - 4 - 0
303 - 4 - 4 - 0
305 - 4 - 4 - 0
307 - 4 - 4 - 0
309 - 4 - 4 - 0
311 - 4 - 4 - 0
313 - 4 - 4 - 0
315 - 4 - 4 - 0
317 - 4 - 4 - 0
319 - 4 - 4 - 0
321 - 4 - 4 - 0
323 - 4 - 4 - 0
325 - 4 - 4 - 0
327 - 4 - 4 - 0
329 - 4 - 4 - 0
331 - 4 - 4 - 0
333 - 4 - 4 - 0
335 - 4 - 4 - 0
337 - 4 - 4 - 0
339 - 4 - 4 - 0
341 - 4 - 4 - 0
343 - 4 - 4 - 0
345 - 4 - 4 - 0
347 - 4 - 4 - 0
349 - 4 - 4 - 0
351 - 4 - 4 - 0
353 - 4 - 4 - 0
354 - 4 - 4 - 0
356 - 4 - 4 - 0
358 - 4 - 4 - 0
360 - 4 - 4 - 0
362 - 4 - 4 - 0
364 - 4 - 4 - 0
366 - 4 - 4 - 0
368 - 4 - 4 - 0
370 - 4 - 4 - 0
372 - 4 - 4 - 0
374 - 4 - 4 - 0
376 - 4 - 4 - 0
378 - 4 - 4 - 0
